,initial size,initial fitness,final size,final fitness
0,11,0.32318807752272477,11,-3.288489099442193
1,9,0.7756173616645523,10,-11.065831202114001
2,14,-0.5083745003734236,14,-3.076544649032564
3,9,0.23707647145775912,11,-2.4822458917136005
4,14,-0.20049297733957056,18,-3.4772778790991437
5,12,-0.7473708553780994,12,-2.4304015767290506
6,5,-0.8590181539299507,6,-6.38503352697612
7,8,0.649479896096195,10,-3.7394321291204813
8,7,0.06788970281690053,13,-2.2414979479407116
9,7,-0.9594139848822393,8,-3.692497357704741
